GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote
51059902,10,Brookfield Voting District,Fairfax,8055,2965,742,2037,1989,8,314,3093,1966,1107
51059913,10,Rocky Run Voting District,Fairfax,5892,3451,277,355,1604,7,198,3325,1707,1597
51059904,10,Dulles Voting District,Fairfax,3090,1923,119,717,238,2,91,1502,791,699
51059921,10,Deer Park Voting District,Fairfax,4876,3249,186,463,791,9,178,2663,1328,1314
51059915,10,Virginia Run Voting District,Fairfax,3678,2783,165,177,427,3,123,2304,967,1324
51059908,10,Kinross Voting District,Fairfax,6314,4603,162,283,1130,6,130,3904,2154,1727
51059920,10,Lees Corner Voting District,Fairfax,4299,2204,221,344,1368,6,156,2171,1246,918
51059917,10,Stone Voting District,Fairfax,5954,3329,453,965,1002,14,191,2910,1732,1141
51059825,11,Cherry Run Voting District,Fairfax,3837,2516,215,242,684,3,177,2341,1220,1110
51059838,11,Sangster Voting District,Fairfax,3001,2280,146,166,321,0,88,1864,883,970
51059126,11,Bonnie Brae Voting District,Fairfax,3378,1885,240,433,688,1,131,1925,1199,708
51059121,11,Villa Voting District,Fairfax,3204,1738,195,516,643,9,103,1635,897,719
51059841,11,Popes Head Voting District,Fairfax,4378,3434,202,219,377,6,140,2603,1166,1423
51059700,11,Fairfax A Voting District,Fairfax,1252,410,466,321,42,10,3,0,0,0
51059323,10,Shouse Voting District,Fairfax,3059,2136,72,80,704,5,62,1830,1017,792
51059330,10,Colvin Voting District,Fairfax,3240,2373,74,163,494,2,134,1914,986,917
51059227,10,Sunrise Valley Voting District,Fairfax,2378,1871,50,124,263,1,69,1446,842,595
51059202,11,Flint Hill Voting District,Fairfax,5932,4243,139,610,720,16,204,3138,1746,1368
51059226,11,Wolftrap Voting District,Fairfax,4460,3776,34,181,367,4,98,2812,1525,1264
51059214,11,Vienna #2 Voting District,Fairfax,4158,3222,63,260,482,9,122,2514,1442,1047
51059218,11,Vienna #6 Voting District,Fairfax,2853,1999,218,187,330,3,116,1710,1116,583
51059910,11,London Towne East Voting District,Fairfax,2744,1141,266,404,771,6,156,1228,760,461
51059911,10,Navy Voting District,Fairfax,5054,3121,225,294,1279,6,129,2577,1483,1081
51059854,11,Newgate South Voting District,Fairfax,4095,3299,91,149,427,4,125,2405,1087,1306
51059239,10,Coppermine Voting District,Fairfax,7394,2169,1273,855,2850,12,235,2352,1661,676
51059237,10,McNair Voting District,Fairfax,7557,2575,1020,788,2876,23,275,2455,1733,706
51059628,11,Laurel Hill Voting District,Fairfax,6903,2026,1431,624,2392,14,416,2773,1720,1040
51059629,11,South County Voting District,Fairfax,4090,2380,608,306,623,6,167,1814,1125,681
51059849,11,Newgate North Voting District,Fairfax,2384,1704,111,143,351,3,72,1431,647,777
51059238,10,Cameron Glen Voting District,Fairfax,4836,3413,293,299,663,11,157,2126,1290,817
51059729,11,Nottoway Voting District,Fairfax,5459,3457,186,426,1178,16,196,2976,1743,1200
51059727,11,Oakton Voting District,Fairfax,3361,2700,62,159,355,1,84,1945,972,966
51059914,11,Vale Voting District,Fairfax,4001,3319,52,171,360,3,96,2499,1230,1250
51059209,10,Reston #2 Voting District,Fairfax,4703,2916,727,441,417,1,201,2375,1713,638
51059208,10,Reston #1 Voting District,Fairfax,4738,2652,606,573,705,12,190,2191,1620,547
51059220,10,Dogwood Voting District,Fairfax,7658,2732,1192,2331,1123,21,259,2966,2086,856
51059331,10,Spring Hill Voting District,Fairfax,3012,2283,43,116,489,6,75,1575,806,758
51059625,8,Lorton Center Voting District,Fairfax,3439,1522,775,549,479,5,109,1528,958,561
51059844,11,Centerpointe Voting District,Fairfax,7062,3664,655,754,1646,15,328,3025,1961,1038
51059848,11,Fair Oaks Voting District,Fairfax,2957,1346,204,227,1061,3,116,1297,843,447
51059852,11,Monument Voting District,Fairfax,6552,3463,619,509,1702,6,253,2496,1529,944
51059423,8,Clermont Voting District,Fairfax,3829,2469,271,639,353,8,89,2062,1255,788
51059406,8,Hayfield Voting District,Fairfax,3836,2787,410,293,229,8,109,2347,1263,1068
51059324,10,Herndon #3 Voting District,Fairfax,8008,2443,844,2916,1599,14,192,2712,1876,807
51059234,10,Aldrin Voting District,Fairfax,6352,4890,263,295,718,8,178,3749,2328,1399
51059222,10,Reston #3 Voting District,Fairfax,3240,1966,353,535,282,9,95,1780,1338,429
51059216,11,Vienna #4 Voting District,Fairfax,2997,1439,77,1015,373,3,90,1244,789,438
51059213,11,Vienna #1 Voting District,Fairfax,5496,4157,99,413,669,3,155,3084,1866,1185
51059426,11,Greenspring Voting District,Fairfax,2010,1939,14,13,38,1,5,1674,953,716
51059623,11,Alban Voting District,Fairfax,2247,1048,445,276,309,2,167,1081,665,410
